danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.411,0.619,1,-6.834,1,0.0368,0.62,0,0.11,0.337,177.937,audio_features,1bjeWoagtHmUKputLVyDxQ,spotify:track:1bjeWoagtHmUKputLVyDxQ,https://api.spotify.com/v1/tracks/1bjeWoagtHmUKputLVyDxQ,https://api.spotify.com/v1/audio-analysis/1bjeWoagtHmUKputLVyDxQ,186192,4
0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,audio_features,4iZ4pt7kvcaH6Yo8UoZ4s2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4
0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4
0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,audio_features,3GCdLUSnKSMJhs4Tj6CV3s,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/tracks/3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/audio-analysis/3GCdLUSnKSMJhs4Tj6CV3s,232187,4
0.358,0.284,7,-8.285,1,0.0285,0.805,0,0.183,0.276,99.796,audio_features,5Y35SjAfXjjG0sFQ3KOxmm,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,https://api.spotify.com/v1/tracks/5Y35SjAfXjjG0sFQ3KOxmm,https://api.spotify.com/v1/audio-analysis/5Y35SjAfXjjG0sFQ3KOxmm,180853,3
0.461,0.651,1,-8.81,0,0.0568,0.418,1.26e-05,0.782,0.383,121.07,audio_features,4PMqSO5qyjpvzhlLI5GnID,spotify:track:4PMqSO5qyjpvzhlLI5GnID,https://api.spotify.com/v1/tracks/4PMqSO5qyjpvzhlLI5GnID,https://api.spotify.com/v1/audio-analysis/4PMqSO5qyjpvzhlLI5GnID,278480,4
0.636,0.729,2,-4.495,1,0.055,0.0458,0,0.384,0.141,146.009,audio_features,1yeB8MUNeLo9Ek1UEpsyz6,spotify:track:1yeB8MUNeLo9Ek1UEpsyz6,https://api.spotify.com/v1/tracks/1yeB8MUNeLo9Ek1UEpsyz6,https://api.spotify.com/v1/audio-analysis/1yeB8MUNeLo9Ek1UEpsyz6,319192,4
0.434,0.586,9,-7.612,1,0.138,0.753,0.0144,0.146,0.239,78.259,audio_features,6koKhrBBcExADvWuOgceNZ,spotify:track:6koKhrBBcExADvWuOgceNZ,https://api.spotify.com/v1/tracks/6koKhrBBcExADvWuOgceNZ,https://api.spotify.com/v1/audio-analysis/6koKhrBBcExADvWuOgceNZ,239613,4
0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,audio_features,3DarAbFujv6eYNliUTyqtz,spotify:track:3DarAbFujv6eYNliUTyqtz,https://api.spotify.com/v1/tracks/3DarAbFujv6eYNliUTyqtz,https://api.spotify.com/v1/audio-analysis/3DarAbFujv6eYNliUTyqtz,208667,4
0.692,0.684,6,-7.364,1,0.155,0.131,0,0.156,0.406,112.912,audio_features,2fXwCWkh6YG5zU1IyvQrbs,spotify:track:2fXwCWkh6YG5zU1IyvQrbs,https://api.spotify.com/v1/tracks/2fXwCWkh6YG5zU1IyvQrbs,https://api.spotify.com/v1/audio-analysis/2fXwCWkh6YG5zU1IyvQrbs,231253,4
0.749,0.729,6,-3.19,0,0.0321,0.261,0,0.113,0.816,111.004,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
0.821,0.575,5,-6.57,0,0.0589,0.173,0.000242,0.114,0.611,136.962,audio_features,4E63weMCaNZuGPEFMnuEi8,spotify:track:4E63weMCaNZuGPEFMnuEi8,https://api.spotify.com/v1/tracks/4E63weMCaNZuGPEFMnuEi8,https://api.spotify.com/v1/audio-analysis/4E63weMCaNZuGPEFMnuEi8,159401,4
0.66,0.379,4,-9.357,1,0.0543,0.798,0,0.0913,0.0762,124.027,audio_features,4l0RmWt52FxpVxMNni6i63,spotify:track:4l0RmWt52FxpVxMNni6i63,https://api.spotify.com/v1/tracks/4l0RmWt52FxpVxMNni6i63,https://api.spotify.com/v1/audio-analysis/4l0RmWt52FxpVxMNni6i63,170227,4
0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,audio_features,36gcliMRX1vCpgnrZE3dFZ,spotify:track:36gcliMRX1vCpgnrZE3dFZ,https://api.spotify.com/v1/tracks/36gcliMRX1vCpgnrZE3dFZ,https://api.spotify.com/v1/audio-analysis/36gcliMRX1vCpgnrZE3dFZ,172253,4
0.543,0.857,8,-3.341,1,0.0945,0.502,0,0.119,0.321,129.918,audio_features,51hyZpbJlIgZIaX3TtMxmu,spotify:track:51hyZpbJlIgZIaX3TtMxmu,https://api.spotify.com/v1/tracks/51hyZpbJlIgZIaX3TtMxmu,https://api.spotify.com/v1/audio-analysis/51hyZpbJlIgZIaX3TtMxmu,143940,4
0.602,0.626,2,-5.323,0,0.0396,0.0129,9.02e-06,0.144,0.619,160.118,audio_features,7l9IqDtVWJurTvkQHq1BGh,spotify:track:7l9IqDtVWJurTvkQHq1BGh,https://api.spotify.com/v1/tracks/7l9IqDtVWJurTvkQHq1BGh,https://api.spotify.com/v1/audio-analysis/7l9IqDtVWJurTvkQHq1BGh,207120,4
0.453,0.383,0,-11.015,1,0.163,0.728,0,0.387,0.333,105.029,audio_features,7l97ElWmIdVHWUaOeeU5ZC,spotify:track:7l97ElWmIdVHWUaOeeU5ZC,https://api.spotify.com/v1/tracks/7l97ElWmIdVHWUaOeeU5ZC,https://api.spotify.com/v1/audio-analysis/7l97ElWmIdVHWUaOeeU5ZC,175027,4
0.667,0.829,2,-3.74,1,0.0509,0.0168,0,0.155,0.265,98.014,audio_features,4mFcwFOlSCxp6hjemRXwpd,spotify:track:4mFcwFOlSCxp6hjemRXwpd,https://api.spotify.com/v1/tracks/4mFcwFOlSCxp6hjemRXwpd,https://api.spotify.com/v1/audio-analysis/4mFcwFOlSCxp6hjemRXwpd,122416,4
0.707,0.811,8,-5.003,1,0.0338,0.0237,5.16e-06,0.153,0.672,113.022,audio_features,0tFRxPQHvAUMTbWYRJUo8R,spotify:track:0tFRxPQHvAUMTbWYRJUo8R,https://api.spotify.com/v1/tracks/0tFRxPQHvAUMTbWYRJUo8R,https://api.spotify.com/v1/audio-analysis/0tFRxPQHvAUMTbWYRJUo8R,180393,4
